row_idx	col_idx	log2ratio
39	17	23641
40	17	4262
41	17	7067
42	17	1463
43	17	5290
44	17	37283
45	17	1215
46	17	2361
47	17	15444
48	17	5524
49	17	8484
50	17	41957
51	17	1763
1	18	759
2	18	0
3	18	558
4	18	1226
5	18	31721
6	18	1072
7	18	3012
8	18	279
9	18	348
10	18	977
11	18	860
12	18	0
13	18	1319
14	18	7850
15	18	1148
16	18	1417
17	18	1662
18	18	1588
19	18	1002
20	18	492
21	18	1833
22	18	7841
23	18	6637
24	18	1598
25	18	0
26	18	1063
27	18	837
28	18	867
29	18	107
30	18	156
31	18	3242
32	18	365
33	18	6548
34	18	2562
35	18	350
36	18	3446
37	18	1038
38	18	1956
39	18	11640
40	18	432
41	18	1528
42	18	584
43	18	1897
44	18	12892
45	18	4410
46	18	568
47	18	2058
48	18	6436
49	18	1361
50	18	4903
51	18	377
1	19	3691
2	19	0
3	19	3073
4	19	3028
5	19	54981
6	19	11943
7	19	7585
8	19	596
9	19	4190
10	19	2854
11	19	3798
12	19	0
13	19	2209
14	19	24314
15	19	10848
16	19	3960
17	19	11881
18	19	7445
19	19	3230
20	19	4810
21	19	10815
22	19	35880
23	19	36885
24	19	1226
25	19	0
26	19	6254
27	19	2174
28	19	4970
29	19	181
30	19	1120
31	19	51737
32	19	1209
33	19	80500
34	19	8346
35	19	233
36	19	15059
37	19	4022
38	19	6068
39	19	60330
40	19	1237
41	19	6936
42	19	1116
43	19	4626
44	19	29521
45	19	7942
46	19	2938
47	19	12393
48	19	11753
49	19	2568
50	19	42237
51	19	1011
1	20	3745
2	20	0
3	20	1467
4	20	2399
5	20	7372
6	20	1769
7	20	16030
8	20	61
9	20	534
10	20	1343
11	20	3352
12	20	0
13	20	268
14	20	7630
15	20	2303
16	20	4464
17	20	892
18	20	845
19	20	1290
20	20	4311
21	20	1145
22	20	11573
23	20	8995
24	20	8930
25	20	316
26	20	1291
27	20	4479
28	20	474
29	20	28
30	20	310
31	20	11578
32	20	1320
33	20	15097
34	20	4810
35	20	1366
36	20	18451
37	20	231
38	20	980
39	20	11561
40	20	3938
41	20	3225
42	20	1312
43	20	1931
44	20	8090
45	20	632
46	20	4776
47	20	7753
48	20	1413
49	20	2705
50	20	12454
51	20	440
1	21	2051
2	21	0
3	21	4302
4	21	3802
5	21	49097
6	21	9135
7	21	2832
8	21	1040
9	21	2563
10	21	3928
11	21	1233
12	21	0
13	21	1517
14	21	36515
15	21	14213
16	21	8958
17	21	1103
18	21	3605
19	21	1496
20	21	2942
21	21	9888
22	21	31548
23	21	34860
24	21	8212
25	21	1210
26	21	5775
27	21	1852
28	21	3331
29	21	60
30	21	404
31	21	34156
32	21	1055
33	21	47977
34	21	1035
35	21	1244
36	21	22234
37	21	1379
38	21	5165
39	21	31549
40	21	381
41	21	2409
42	21	859
43	21	4102
44	21	44525
45	21	5949
46	21	1462
47	21	6135
48	21	10876
49	21	5611
50	21	30693
51	21	2167
1	22	11066
2	22	0
3	22	3795
4	22	12313
5	22	33161
6	22	7221
7	22	19012
8	22	741
9	22	2248
10	22	3843
11	22	9599
12	22	0
13	22	2913
14	22	5715
15	22	3964
16	22	2243
17	22	16984
18	22	8393
19	22	1359
20	22	10013
21	22	17240
22	22	26401
23	22	19761
24	22	3359
25	22	2226
26	22	7910
27	22	3847
28	22	2708
29	22	95
30	22	1229
31	22	34473
32	22	4324
33	22	52580
34	22	17306
35	22	1468
36	22	21389
37	22	7453
38	22	9793
39	22	50284
40	22	4499
41	22	9193
42	22	993
43	22	8179
44	22	57133
45	22	3533
46	22	6315
47	22	21377
48	22	12644
49	22	3637
50	22	39712
51	22	558
1	23	1556
2	23	0
3	23	2389
4	23	1739
5	23	14728
6	23	5239
7	23	3980
8	23	625
9	23	1721
10	23	2344
11	23	2159
12	23	66
13	23	1912
14	23	17507
15	23	6721
16	23	10486
17	23	1785
18	23	4775
19	23	770
20	23	973
21	23	1454
22	23	12405
23	23	36859
24	23	3751
25	23	2165
26	23	2301
27	23	1780
28	23	3653
29	23	110
30	23	183
31	23	29313
32	23	937
33	23	29924
34	23	4836
35	23	394
36	23	12911
37	23	613
38	23	757
39	23	17382
40	23	241
41	23	1915
42	23	672
43	23	3452
44	23	13658
45	23	6119
46	23	597
47	23	2832
48	23	3404
49	23	5881
50	23	18796
51	23	609
1	24	3158
2	24	0
3	24	10609
4	24	7625
5	24	61055
6	24	12385
7	24	4612
8	24	690
9	24	1496
10	24	2270
11	24	7523
12	24	4910
13	24	2109
14	24	16494
15	24	4178
16	24	2716
17	24	11158
18	24	8558
19	24	2180
20	24	1768
21	24	6568
22	24	14499
23	24	14414
24	24	2810
25	24	1974
26	24	7571
27	24	2483
28	24	549
29	24	288
30	24	1039
31	24	19773
32	24	2133
33	24	35827
34	24	3353
35	24	2579
36	24	23843
37	24	7954
38	24	9613
39	24	31369
40	24	888
41	24	743
42	24	699
43	24	2719
44	24	65601
45	24	2340
46	24	4275
47	24	14035
48	24	17776
49	24	4509
50	24	32948
51	24	2193
1	25	10797
2	25	0
3	25	3576
4	25	3470
5	25	39016
6	25	5287
7	25	24540
8	25	410
9	25	2308
10	25	3478
11	25	8084
12	25	0
13	25	1156
14	25	26386
15	25	7434
16	25	3177
17	25	6454
18	25	10603
19	25	681
20	25	9043
21	25	8706
22	25	43721
23	25	27106
24	25	2942
25	25	1394
26	25	2426
27	25	3881
28	25	2810
29	25	517
30	25	2398
31	25	65744
32	25	1553
33	25	76056
34	25	3847
35	25	2633
36	25	20528
37	25	2046
38	25	3324
39	25	37656
40	25	5341
41	25	1786
42	25	755
43	25	6725
44	25	23560
45	25	4727
46	25	5246
47	25	13200
48	25	5973
49	25	5289
50	25	39581
51	25	681
1	26	2869
2	26	0
3	26	4988
4	26	12948
5	26	53771
6	26	9788
7	26	2168
8	26	407
9	26	357
10	26	1276
11	26	3078
12	26	0
13	26	1933
14	26	15746
15	26	6799
16	26	10879
17	26	14973
18	26	3907
19	26	4469
20	26	1658
21	26	2040
22	26	3281
23	26	22037
24	26	4156
25	26	2430
26	26	8799
27	26	3113
28	26	2422
29	26	200
30	26	278
31	26	4246
32	26	5012
33	26	11516
34	26	4757
35	26	1550
36	26	27058
37	26	3777
38	26	8936
39	26	15586
40	26	505
41	26	1949
42	26	446
43	26	2814
44	26	73840
45	26	5730
46	26	565
47	26	4943
48	26	11667
49	26	5972
50	26	40911
51	26	1443
1	27	8451
2	27	1487
3	27	4959
4	27	2619
5	27	60293
6	27	1906
7	27	5026
8	27	1942
9	27	3032
10	27	10945
11	27	6773
12	27	504
13	27	4405
14	27	33190
15	27	22049
16	27	12530
17	27	1355
18	27	29774
19	27	3028
20	27	5810
21	27	11648
22	27	23325
23	27	40177
