YEAR	STATE	SUM	REGION
1933	OKLAHOMA	2437	South
1933	OREGON	2253	West
1933	PENNSYLVANIA	32912	Northeast
1933	RHODE ISLAND	63	Northeast
1933	SOUTH CAROLINA	6319	South
1933	SOUTH DAKOTA	2064	Midwest
1933	TENNESSEE	3667	South
1933	TEXAS	21734	South
1933	UTAH	2091	West
1933	VERMONT	1116	Northeast
1933	VIRGINIA	8656	South
1933	WASHINGTON	2481	West
1933	WEST VIRGINIA	5315	South
1933	WISCONSIN	9651	Midwest
1933	WYOMING	573	West
1934	ALABAMA	15849	South
1934	ALASKA	0	West
1934	ARIZONA	1022	West
1934	ARKANSAS	7222	South
1934	CALIFORNIA	25650	West
1934	COLORADO	12946	West
1934	CONNECTICUT	4659	Northeast
1934	DELAWARE	3063	South
1934	DISTRICT OF COLUMBIA	6461	South
1934	FLORIDA	8015	South
1934	GEORGIA	22965	South
1934	HAWAII	0	West
1934	IDAHO	1194	West
1934	ILLINOIS	44676	Midwest
1934	INDIANA	20943	Midwest
1934	IOWA	8694	Midwest
1934	KANSAS	10066	Midwest
1934	KENTUCKY	11501	South
1934	LOUISIANA	4866	South
1934	MAINE	647	Northeast
1934	MARYLAND	26948	South
1934	MASSACHUSETTS	44749	Northeast
1934	MICHIGAN	6355	Midwest
1934	MINNESOTA	8451	Midwest
1934	MISSISSIPPI	0	South
1934	MISSOURI	20414	Midwest
1934	MONTANA	1940	West
1934	NEBRSKA	4575	Midwest
1934	NEVADA	0	West
1934	NEW HAMPSHIRE	4064	Northeast
1934	NEW JERSEY	14718	Northeast
1934	NEW MEXICO	3374	West
1934	NEW YORK	34208	Northeast
1934	NORTH CAROLINA	55684	South
1934	NORTH DAKOTA	4419	Midwest
1934	OHIO	27713	Midwest
1934	OKLAHOMA	9040	South
1934	OREGON	1906	West
1934	PENNSYLVANIA	83076	Northeast
1934	RHODE ISLAND	444	Northeast
1934	SOUTH CAROLINA	11222	South
1934	SOUTH DAKOTA	9370	Midwest
1934	TENNESSEE	18036	South
1934	TEXAS	29699	South
1934	UTAH	11405	West
1934	VERMONT	1359	Northeast
1934	VIRGINIA	28795	South
1934	WASHINGTON	7628	West
1934	WEST VIRGINIA	4105	South
1934	WISCONSIN	40706	Midwest
1934	WYOMING	2254	West
1935	ALABAMA	7214	South
1935	ALASKA	0	West
1935	ARIZONA	586	West
1935	ARKANSAS	1518	South
1935	CALIFORNIA	28799	West
1935	COLORADO	12786	West
1935	CONNECTICUT	24149	Northeast
1935	DELAWARE	1040	South
1935	DISTRICT OF COLUMBIA	929	South
